∑ΩŒªΩ«,—ˆΩ«,¿‚æµ∫≈,≈ÃŒª,µ„∫≈,±±◊¯±Í,∂´◊¯±Í,∏ﬂ≥Ã,
,,A1,æµ”“,T361,955.357,1009.1448,24.4819,
,,B1,æµ◊Û,T362,955.4071,1008.5085,22.9713,
,,B1,æµ”“,T363,955.4051,1008.5009,22.9698,
,,B2,√‚◊Û,T364,955.5035,1008.3149,22.9086,
,,B2,√‚”“,T365,955.5055,1008.3145,22.9078,
,65,B1,æµ◊Û,T366,955.3577,1008.5824,22.7918,
,,B1,æµ”“,T367,955.3575,1008.5834,22.7916,
,,B2,√‚◊Û,T368,955.4474,1008.3987,22.6955,
,,B2,√‚”“,T369,955.4497,1008.3983,22.6949,
,55,B1,æµ◊Û,T370,955.2918,1008.6814,22.6308,
,,B1,æµ”“,T371,955.291,1008.6794,22.6296,
,,B2,√‚◊Û,T372,955.3673,1008.5149,22.5035,
,,B2,√‚”“,T373,955.3705,1008.5138,22.5025,
,45,B1,æµ◊Û,T374,955.2115,1008.8016,22.4923,
,,B1,æµ”“,T375,955.2114,1008.8027,22.4915,
,,B2,√‚◊Û,T376,955.2714,1008.656,22.3371,
,,B2,√‚”“,T377,955.2742,1008.6556,22.3358,
,35,B1,æµ◊Û,T378,955.1187,1008.9402,22.3815,
,,B1,æµ”“,T379,955.1187,1008.9413,22.381,
,,B2,√‚◊Û,T380,955.1611,1008.8184,22.2033,
,,B2,√‚”“,T381,955.1654,1008.8171,22.2018,
165,5,A1,æµ◊Û,T382,955.4374,1007.5325,23.286,
,,A1,æµ”“,T383,955.4375,1007.5336,23.2868,
,,A2,√‚◊Û,T384,955.4152,1007.5834,23.2363,
,,A2,√‚”“,T385,955.4172,1007.5832,23.2359,
,15,A1,æµ◊Û,T386,955.4377,1007.5338,23.4979,
,,A1,æµ”“,T387,955.4373,1007.5346,23.4965,
,,A2,√‚◊Û,T388,955.415,1007.5755,23.439,
,,A2,√‚”“,T389,955.4164,1007.5752,23.4384,
,25,A1,æµ◊Û,T390,955.4354,1007.5717,23.7043,
,,A1,æµ”“,T391,955.4348,1007.5717,23.704,
,,A2,√‚◊Û,T392,955.4126,1007.6013,23.6392,
,,A2,√‚”“,T393,955.4136,1007.6014,23.6386,
,35,A1,æµ◊Û,T394,955.4303,1007.6448,23.9018,
,,A1,æµ”“,T395,955.4302,1007.6448,23.9016,
,,A2,√‚◊Û,T396,955.4079,1007.6628,23.8327,
,,A2,√‚”“,T397,955.4082,1007.663,23.8328,
,45,A1,æµ◊Û,T398,955.4233,1007.7503,24.0838,
,,A1,æµ”“,T399,955.4233,1007.7505,24.0832,
,,A2,√‚◊Û,T400,955.3975,1007.7578,24.0139,
,,A2,√‚”“,T401,955.3974,1007.7577,24.0139,
,55,A1,æµ◊Û,T402,955.4143,1007.8859,24.2442,
,,A1,æµ”“,T403,955.4144,1007.8865,24.2442,
,,A2,√‚◊Û,T404,955.3895,1007.8813,24.1732,
,,A2,√‚”“,T405,955.3908,1007.881,24.173,
,65,A1,æµ◊Û,T406,955.4037,1008.0476,24.3787,
,,A1,æµ”“,T407,955.4036,1008.0482,24.378,
,,A2,√‚◊Û,T408,955.3826,1008.0288,24.3101,
,,A2,√‚”“,T409,955.3812,1008.0288,24.31,
,,B1,æµ◊Û,T410,955.102,1007.7333,22.7894,
,,B1,æµ”“,T411,955.1021,1007.7341,22.7891,
,,B2,√‚◊Û,T412,955.0925,1007.543,22.6969,
